,NAIP Entity ID,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Entity ID
0,M_2608003_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"26°58'07.49""N","80°39'22.53""W","27°00'07.11""N","80°41'22.34""W","27°00'06.53""N","80°37'21.99""W","26°56'07.83""N","80°37'22.79""W","26°56'08.41""N","80°41'22.99""W",26.9687471,-80.6562583,27.001975,-80.6895388,27.001813800000004,-80.62277490000001,26.9355083,-80.62299709999999,26.935669399999995,-80.6897194,M_2608003_NE_17_060_20191215,2855534
1,M_2608003_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"26°58'07.50""N","80°43'07.47""W","27°00'06.97""N","80°45'07.24""W","27°00'06.50""N","80°41'07.10""W","26°56'07.99""N","80°41'07.77""W","26°56'08.47""N","80°45'07.76""W",26.968749900000002,-80.7187416,27.0019361,-80.75201109999999,27.0018055,-80.6853055,26.9355527,-80.68549159999999,26.935685999999997,-80.7521555,M_2608003_NW_17_060_20191215,2855535
2,M_2608004_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"26°58'07.46""N","80°31'52.55""W","27°00'07.29""N","80°33'52.33""W","27°00'06.49""N","80°29'51.77""W","26°56'07.60""N","80°29'52.83""W","26°56'08.40""N","80°33'53.25""W",26.968738800000004,-80.53126379999999,27.002025,-80.5645361,27.0018027,-80.49771379999999,26.935444399999994,-80.4980083,26.9356666,-80.56479159999999,M_2608004_NE_17_060_20191215,2855538
3,M_2608004_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"26°58'07.47""N","80°35'37.48""W","27°00'07.15""N","80°37'37.23""W","27°00'06.46""N","80°33'36.88""W","26°56'07.76""N","80°33'37.81""W","26°56'08.46""N","80°37'38.01""W",26.9687416,-80.5937444,27.001986100000003,-80.6270082,27.001794399999994,-80.5602444,26.935488800000005,-80.5605027,26.935683299999997,-80.6272249,M_2608004_NW_17_060_20191215,2855539
4,M_2608005_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"26°58'07.52""N","80°24'22.46""W","27°00'07.45""N","80°26'22.33""W","27°00'06.44""N","80°22'21.34""W","26°56'07.55""N","80°22'22.66""W","26°56'08.57""N","80°26'23.51""W",26.9687554,-80.4062388,27.002069399999996,-80.439536,27.001788800000003,-80.3725943,26.9354305,-80.372961,26.935713800000002,-80.4398638,M_2608005_NE_17_060_20191215,2855542
5,M_2608005_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"26°58'07.44""N","80°28'07.50""W","27°00'07.32""N","80°30'07.22""W","27°00'06.41""N","80°26'06.66""W","26°56'07.53""N","80°26'07.85""W","26°56'08.43""N","80°30'08.27""W",26.9687332,-80.4687499,27.002033299999997,-80.50200550000001,27.0017805,-80.43518329999999,26.9354249,-80.4355138,26.935674900000002,-80.5022972,M_2608005_NW_17_060_20191215,2855543
6,M_2608006_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"26°58'07.57""N","80°16'52.49""W","27°00'07.80""N","80°18'52.33""W","27°00'06.57""N","80°14'51.13""W","26°56'07.30""N","80°14'52.72""W","26°56'08.53""N","80°18'53.78""W",26.9687693,-80.28124709999999,27.002166600000002,-80.3145361,27.001825,-80.247536,26.935361,-80.2479777,26.9357027,-80.3149388,M_2608006_NE_17_060_20191215,2855546
7,M_2608006_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"26°58'07.59""N","80°20'37.42""W","27°00'07.68""N","80°22'37.22""W","27°00'06.55""N","80°18'36.23""W","26°56'07.48""N","80°18'37.69""W","26°56'08.60""N","80°22'38.54""W",26.9687749,-80.3437277,27.002133299999997,-80.3770054,27.001819399999995,-80.3100638,26.935411,-80.3104694,26.935722100000003,-80.37737209999999,M_2608006_NW_17_060_20191215,2855547
8,M_2708003_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°58'07.53""N","80°39'22.40""W","28°00'07.05""N","80°41'22.30""W","28°00'06.44""N","80°37'21.74""W","27°56'07.98""N","80°37'22.57""W","27°56'08.58""N","80°41'22.98""W",27.9687582,-80.6562222,28.0019583,-80.6895277,28.001788800000003,-80.6227054,27.9355499,-80.622936,27.935716600000003,-80.6897166,M_2708003_NE_17_060_20191215,2856074
9,M_2708003_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°58'07.45""N","80°43'07.40""W","28°00'06.92""N","80°45'07.26""W","28°00'06.43""N","80°41'06.92""W","27°56'07.96""N","80°41'07.61""W","27°56'08.45""N","80°45'07.80""W",27.968736,-80.7187221,28.0019222,-80.75201659999999,28.001786100000004,-80.68525550000001,27.935544399999998,-80.68544709999999,27.9356805,-80.7521666,M_2708003_NW_17_060_20191215,2856075
