products,prices,ratings,price_origs,pages
HP Victus Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX ...,"₹65,990",4.6,"₹88,056",/hp-victus-intel-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-16-d0311tx-gaming-laptop/p/itm22c164f45d999?pid=COMGHYYKESUN5ZKQ&lid=LSTCOMGHYYKESUN5ZKQNTQDKG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKXYyF8IhjVuC0BCvfn9ahD%2BVWqwQTijCqeUWUawETN5xw%3D%3D&ssid=3kkqf401eo0000001678100246320
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,"₹39,990",4.1,"₹59,999",/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKV9VPkR%2FKWRwG5aaT0ujcnYTj1Hc3YfkkZizBLEZSepeg%3D%3D&ssid=3kkqf401eo0000001678100246320
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"₹49,990",4.4,"₹70,990",/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_3&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGF9Z7JYCFBKAP.SEARCH&ssid=3kkqf401eo0000001678100246320
MSI Katana GF66 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,"₹79,990",4.5,"₹1,11,990",/msi-katana-gf66-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-ti-144-hz-12ud-472in-gaming-laptop/p/itm0f7beb23c3a47?pid=COMGEY8WAEQYU5ZP&lid=LSTCOMGEY8WAEQYU5ZPXVBGRT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGEY8WAEQYU5ZP.SEARCH&ssid=3kkqf401eo0000001678100246320
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹86,990",4.7,"₹99,900",/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_5&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMFXEKMGNHZYFH9.SEARCH&ssid=3kkqf401eo0000001678100246320
Lenovo V15 G2 Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) V15 ITL G2 Laptop,"₹35,490",4.4,"₹60,120",/lenovo-v15-g2-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-itl-laptop/p/itm622b441c5305a?pid=COMGHTE8UQZ6BADN&lid=LSTCOMGHTE8UQZ6BADNYC0C1D&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGHTE8UQZ6BADN.SEARCH&ssid=3kkqf401eo0000001678100246320
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,"₹23,990",4.1,"₹33,990",/asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_7&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGBH774UHWUFQF.SEARCH&ssid=3kkqf401eo0000001678100246320
HP Victus Intel Core i7 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3...,"₹90,990",4.4,"₹1,01,278",/hp-victus-intel-core-i7-12th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-15-fa0073tx-gaming-laptop/p/itm9010e2ab6b562?pid=COMGGKKZX7FC7GHU&lid=LSTCOMGGKKZX7FC7GHUX9YXDZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKXJAaIG2NekFRLBM%2By7cnvmkaQ0PPIlab7oVvZkGm0%2BNg%3D%3D&ssid=3kkqf401eo0000001678100246320
MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/8 GB Gra...,"₹79,990",4.5,"₹1,11,990",/msi-alpha-15-amd-advantage-ryzen-7-octa-core-5800h-8-gb-512-gb-ssd-windows-11-home-8-graphics-amd-radeon-rx-6600m-144-hz-b5eek-235in-gaming-laptop/p/itm32321e9be1e31?pid=COMGGZ234HN7DARE&lid=LSTCOMGGZ234HN7DAREXRH2PL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_9&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGGZ234HN7DARE.SEARCH&ssid=3kkqf401eo0000001678100246320
HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,"₹35,990",4.2,"₹47,278",/hp-14s-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-dy2507tu-thin-light-laptop/p/itm183e95bd1f23b?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYFHH552&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGG63H9BFFUYVY.SEARCH&ssid=3kkqf401eo0000001678100246320
